pBrand,pCategory,pModel,pTitle,pURL,price,rDate,rRating,rText,rTitle,rURL,rUser,siteCode
Frigidaire,fridge,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00 ,23-Aug-16," 4.1
 out of
 5
"," I bought this as a brand-new unit and had it delivered but not installed. When I went to roll it into place a screw on the underside that was installed at the wrong angle and not completely tightened down scratched up my floors. Upon further inspection my ""brand new"" unit had dents on the top, the top two fridge door bracket screw holes were stripped and had helicoils installed(badly) to try and fix them, then the new screw was cross-threaded into the helicoil. So either Frigidaire or Home Depot sold me a damaged, badly-repaired fridge as new. I've now lost a half-day of work getting their tech to come out and confirm the defects. I'll lose another half-day getting this thing picked up. And I'm having to go through Frigidaire's claim department to get my damaged floor fixed.","Multiple defects, clearly a repaired fridge sold as new, it caused damage to my house",http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,Pixel,HD
Frigidaire,fridge,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00 ,12-Feb-17," 4.1
 out of
 5
","I replaced this fridgfridgwith a ge i boughtin 1995 and the new one
Ismade so cheaP plastic and
Nowhere
To put ice trays",Cheaply made,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,J0,HD
Frigidaire,fridge,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00 ,4-Feb-17," 4.1
 out of
 5
",I bought this fridge to replace the old one. It has a pretty good size for food storage and convenient pull out shelves. My wife loves it and I'm happy.,I bought this fridge to replace the old one. It has a pretty good size for food storage and conve...,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,adogom,HD
Frigidaire,fridge,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00 ,26-Jan-17," 4.1
 out of
 5
","We are pleased with the product, it is spacious and simple. We have had it for 2 weeks now and it is used at work to hold our lunch items for a staff of about 20 people.","We are pleased with the product, it is spacious and simple. We have had it for 2 weeks now and it...",http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,LoriRath,HD
Frigidaire,fridge,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00 ,27-Dec-16," 4.1
 out of
 5
","This is a second fridge for the basement. Quality is good enough though small. Would prefer larger but doors are too small to move in. The sides of the unit had dents/ripples in material. Even a slight bulge at what I assume is the compressor. When I mentioned it to delivery person, he said all the refrigerators looked that way and he gets that comment a lot. If that's true, then you may not want this unit in highly visible area of your home. For the basement, I'll accept it but not really happy with quality of exterior of unit.",This is a second fridge for the basement. Quality is good enough though small. Would prefer lar...,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,ChiRay,HD
Frigidaire,fridge,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00 ,15-Jan-17," 4.1
 out of
 5
",The best thing about this refrigerator is that it is quiet. I had to get rid of my 6 month old Kenmore 18' refrigerator because the noise was driving me crazy. I went back to Frigidaire and am very happy with my purchase.,The best thing about this refrigerator is that it is quiet. I had to get rid of my 6 month old K...,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,vincent777,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,19-Jan-17," 3.7
 out of
 5
","I like the size. Not as small as a dorm refrigerator, but adequate for use for a bar and holiday food storage when entertaining. I only have had it a short while, so cannot comment on durability. It seems to be functioning well in terms of cooling. So far, it meets my expectations.","I like the size. Not as small as a dorm refrigerator, but adequate for use for a bar and holiday...",http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,Cera,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,13-Jan-17," 3.7
 out of
 5
",I purchased this refrigerator about 11 years ago from Hone Depot. It is still working today never needing repair. I tip my hat to Magic Chef for putting out a quality product.,I purchased this refrigerator about 11 years ago from Hone Depot. It is still working today never...,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,JK61,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,12-Nov-16," 3.7
 out of
 5
"," Bought this 9.9 frig/freezer on 7/24/16. Installed same day. Worked MAYBE 2 months. Started having trouble &amp; started looking for my receipt in October. Freezer froze repeatedly hard, couldn't defrost. Refrigerator part wouldn't cool down. Unplugged, let it rest &amp; tried again. No luck several times. Went to Home Depot today with receipt found &amp; they said I had to call the manufacturer. The checkout person never asked if I wanted add'l warranty NOR mentioned 90 day return policy. My time was up 10/22 and today is 11/12. Extremely poor customer service considering I've supported Home Depot &amp; purchased many items from them. Never an appliance again. Work knowledge of employees in appliances &amp; checkout? Minimal.",Bought this 9.9 frig/freezer on 7/24/16. Installed same day. Worked MAYBE 2 months. Started ha...,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,txfox,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,1-Mar-17," 3.7
 out of
 5
"," This refrigerator has some design flaw that makes it defective. It is constantly frosting over in the freezer to the point that you can't see what's inside, humming loudly (extremely loudly), and not cooling in the actual fridge area so all our food spoils again and again. After a lengthy back and forth with Magic Chef they basically told us that even though the fridge was still under warranty they would be unable to repair it so it was on us to truck it back to home depot and get a new one. We borrowed a truck with two feet of snow on the ground and wrestled the new one home and within a week now the same thing has happened. This is a poorly made machine and I am frustrated and angry that it is defective and the neither Home Depot or Magic Chef will take responsibility for it. Extra annoying is that we are stuck with these small fridges until remodeling our kitchen or i would just buy a real fridge from a reputable company and be done with it. All i can say is save yourself the trouble, don't buy this item.",This refrigerator has some design flaw that makes it defective. It is constantly frosting over in...,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,Erika,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,28-Feb-17," 3.7
 out of
 5
",This was the only full-size unit that was reasonably priced and sized so I could get it down a tight-staircase the to my basement. The unit runs quietly and provides us with the extra room that we need to store the overflow from our main kitchen unit.,This was the only full-size unit that was reasonably priced and sized so I could get it down a ti...,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,Zuppss,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,27-Feb-17," 3.7
 out of
 5
","DON""T BUY THIS REFRIGERATOR!! Ours lasted 1 year an 1 month. The warranty is only for a year. Then they say the compressor is covered for 5 years except that isn't true either. Since the compressor is part of a sealed system that won't fix it.","DON""T BUY THIS REFRIGERATOR!! Ours lasted 1 year an 1 month. The warranty is only for a year. ...",http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,WastedFood,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,28-Feb-17," 3.7
 out of
 5
",It's awesome ......It's just perfect for my wifes daycare....super great....j,It's awesome ......It's just perfect for my wifes daycare....super great....j...,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,jim,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,27-Feb-17," 3.7
 out of
 5
",Great little fridge for our cabin.,Great little fridge for our cabin.,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,Scot2bdun,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,25-Feb-17," 4.4
 out of
 5
"," I have never left a review before but this is simply the best mower I have ever used. I have had it for about a year and not a single problem but I would expect that for any mower. What makes this mower extraordinary is it's auto choke easy start engine, intuitive easy to use drive system and it's light weight maneuverability. But the best feature is it's twin cutting blades. They do such a good job of mulching that I have only used the bag once. The mulch never clumps, never bogs down the mower and is virtually invisible no matter the grass length or how wet. This mower is so good that I plan on buying for my son for a house warming gift. I highly recommend this model, no need to go any higher in price!",I have never left a review before but this is simply the best mower I have ever used. I have had ...,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,ManuelLabor,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,26-Feb-17," 4.4
 out of
 5
"," The mower made it's maiden voyage today, and performed flawlessly. Assembled easily in minutes, and cranked on the first pull. My bermuda lawn gets scalped once early each year, so I set the mower to its lowest setting. Adding to the challenge is the fact that my lawn is covered with last years leaves. I started in bag mode, but quickly re-evaluated after filling the bag with leaves in one pass. Switching to mulch mode, countless trips to empty the bag were avoided. My old mower is a Honda, so I expected quality performance. Still, I was pleasantly surprised at the results in mulch mode. Granted, I needed double passes on occasion to completely mulch the leaves, but double passes were much quicker than continually dumping the bag, and the motor never stalled.  I was skeptical about the variable speed control, especially after reading the 1* reviews. Once again, pleasantly surprised! It took some experimentation to get the adjustable paddles in a desirable position, which for me was rather low, so that no matter how far I depressed them, the speed never got very high. Many with poor reviews cited speed control and thumb fatigue as issues. My instinct was to lay my thumbs on the paddles too, but Honda's promo video shows that the proper grip has the pad of the thumb knuckle laying on the paddles, with thumbs either above, or wrapped under the grip. In this manner, rolling the wrist slightly toggles the mechanism, rather than using thumb leverage. (Honda's promo video: https://www.youtube.com/watch?v=A5ikBT_DOkE ). It was easy to control acceleration and no hand cramps at all. Mower started cold, started hot and the transition of the auto choke was undetectable. A flawless performance today, and I expect years of the same. Pros: easy start, flawless auto choke, no stalls, good mulch quality<br>Cons: bag is a bit smaller than the previous model. Could be problematic with very high/thick grass, but shouldn't be a problem for once-a-week mowers. I recommend mulch mode for high grass.","The mower made it's maiden voyage today, and performed flawlessly. Assembled easily in minutes, a...",http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,davhen,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,10-Jan-17," 4.4
 out of
 5
","The HRR216VKA is an amazing mower. It has rear wheel drive, and a twin blade MicroCut system. I have never seen such small/fine bag clippings until I bought this lawn mower. The Honda engine is a definite plus too. I did my research of the available walk behind self propelled lawn mowers and finally decided on this one. I highly recommend this lawn mower.","The HRR216VKA is an amazing mower. It has rear wheel drive, and a twin blade MicroCut system. I...",http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,ChrisLSU,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,28-Feb-17," 4.4
 out of
 5
","Took it out of the box, filled it with oil and gas and then gave it one gentle pull - vroom! What more can I say other than it can pull you along at almost a jogging pace if you want it to. It mulched my winter leaves to pulp. Great mower!!","Took it out of the box, filled it with oil and gas and then gave it one gentle pull - vroom! What...",http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,GreenCoveGardener,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,26-Feb-17," 4.4
 out of
 5
",Do not purchase. After 7 months unable to start. Followed troubleshooting guidelines. Does not start. Took back to Home Depot. They would not replace because over 90 days. Spent $400 for piece of junk. Buyer beware.,Big Disappointment,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,Kboyer,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,4-Oct-16," 4.4
 out of
 5
","Honda mower was easy to assemble and started quickly after I had put in gas & oil (supplied). Instructions were easy to follow. The mower works great. I love the mulching feature. It mulches the grass into fine particles so there is no bunches of grass on the lawn.
I have a large lawn, about 1.5 acres, and this mower handles the operation without problems.",Best lawnmower I ever owned!,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,Bob,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,28-Feb-17," 4.4
 out of
 5
",Works great love it,Works great love it...,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,Greg,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,24-Feb-17," 4.4
 out of
 5
"," I am a teen who own my own lawn service, so I have had to venture out and buy various types of lawn equipment. In doing so, I have discovered many things about all the big name brands and their quality. My dad owns the 2011 model of this mower, and has had wonderful luck with it, so I decided to venture out and buy another when my Toro lawn mower seized up out of the blue. I really like this mower: fuel efficiency, features, value, etc.<br>However there are a few things worth noting about overall quality vs. my dad's 2011 model of this mower. Improvements: <br>Cutting height- My dad's mower cannot cut at very tall heights; thankfully two extra cutting heights have made this mower more practical for me.<br>Ease of transport- My dad's mower required you to unscrew two plastic pieces on both sides of the handle bars to fold them down. It is a very slow process, and can be quite a pain. This mower now has two pieces that pop out and twist to the side allowing you to fold the handle bars in one second flat.<br>Mowing options- While this mower still cannot side discharge, changing from mulching to bagging is now a breeze. A single switch on the deck allows you to change from mulching to bagging without having to remove a mulching attachment. The bad:<br>Since the price-point of this mower has changed relatively little over the past 6-7 years, Honda has had to cut quality to meet inflation. This is very apparent when you are starting the mower. The Auto Choke system has changed, and takes 2-3 pulls to start (versus one pull for the 2011 model). Honda has also made the bag thinner, which allows small pieces of grass to fly out of it, and turns it a dusty-brown when some become trapped within. The wheels have below average grip, so it will occasionally struggle going up steep hills. The plastic back flap also bends and warps over a short period of time, not visually appealing, but it does not hurt the performance of the mower. While there are some negatives to the overall performance and value of this mower, it's easy enough to overlook those, and I expect to get many years of service out of this mower.","I am a teen who own my own lawn service, so I have had to venture out and buy various types of la...",http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,Bob,HD
Sun Joe,lawn mower,"Model # MJ401E
Internet #202554772",14 in. 12 Amp Electric Lawn Mower,http://www.homedepot.com/p/Sun-Joe-14-in-12-Amp-Electric-Lawn-Mower-MJ401E/202554772,$94.97 ,28-Feb-17," 4.4
 out of
 5
","The only assembly required was putting the handle on. Easy peasy. Can be set to 3 cutting levels. I have Tall Fescue grass, and it cut through that no problem. Bag is easy to empty. Easy to use and very lightweight, which was important for me, an older woman. This will pay for itself in a month of Lawn Care Fees. Buy a bright, non green cord in recommended gauge, and give the machine 2 seconds to bring the blades up to speed. Off you go. I would purchase this again.",The only assembly required was putting the handle on. Easy peasy. Can be set to 3 cutting level...,http://www.homedepot.com/p/Sun-Joe-14-in-12-Amp-Electric-Lawn-Mower-MJ401E/202554772,Janet,HD
